date,BANKBARODA,BANKINDIA,MAHABANK,CANBK,CENTRALBK,INDIANB,IOB,PSB,PNB,SBIN,UCOBANK,UNIONBANK
2025-01-14,0.027716398239135742,-0.04725801944732666,-0.132002592086792,-0.05318498611450195,-0.18071258068084717,-0.06307101249694824,-0.1830582618713379,-0.1417379379272461,0.03140604496002197,-0.025565505027770996,-0.17401444911956787,0.027979135513305664
2025-01-15,-0.0076372623443603516,-0.015946626663208008,0.03318166732788086,-0.015608906745910645,0.07264184951782227,0.0059018731117248535,0.07178723812103271,0.03763777017593384,-0.0017215609550476074,-0.007418274879455566,0.06317651271820068,0.019270896911621094
2025-01-16,0.030784130096435547,-0.03762662410736084,-0.01941549777984619,-0.02791273593902588,-0.017926812171936035,-0.048744916915893555,-0.009216547012329102,-0.0691443681716919,0.02015519142150879,-0.01671755313873291,-0.01249706745147705,0.03625380992889404
2025-01-17,-0.0037330985069274902,-0.00482785701751709,0.011350512504577637,-0.005606889724731445,-0.009188294410705566,0.005363047122955322,-0.00536036491394043,0.0056588053703308105,-0.000950932502746582,0.0028709769248962402,-0.0030275583267211914,-0.011191606521606445
2025-01-20,0.01803278923034668,-0.014413833618164062,-0.013815879821777344,-0.03236031532287598,-0.03129732608795166,-0.014777779579162598,-0.0371248722076416,-0.012804865837097168,0.008777499198913574,-0.01982724666595459,-0.03459489345550537,0.02691650390625
2025-01-21,-0.010812103748321533,0.015787839889526367,0.014395415782928467,0.015567123889923096,0.023174524307250977,0.013086676597595215,0.025133252143859863,0.02608877420425415,-0.006814122200012207,0.02592235803604126,0.01054757833480835,-0.018801510334014893
2025-01-22,-0.005348801612854004,0.010373234748840332,0.022590041160583496,0.01656627655029297,0.014874815940856934,0.00777667760848999,0.017578125,0.022048234939575195,-0.02121591567993164,0.00737762451171875,0.021319985389709473,0.004342079162597656
2025-01-23,0.0035071372985839844,-0.006915926933288574,-0.004184126853942871,-0.0033910274505615234,0.004969358444213867,0.008641541004180908,-0.0067594051361083984,-0.003582000732421875,0.012617230415344238,0.010020554065704346,-0.008111238479614258,-0.0027256011962890625
2025-01-24,-0.01724141836166382,0.013414919376373291,0.014880955219268799,0.014281094074249268,0.03207838535308838,0.029900670051574707,0.03159552812576294,0.036741554737091064,-0.01821082830429077,0.0023461580276489258,0.031494200229644775,-0.021958351135253906
2025-01-27,-0.024893343448638916,-0.06015443801879883,0.020745277404785156,0.04976773262023926,-0.021432876586914062,0.005433022975921631,-0.018148422241210938,0.001961648464202881,-0.021585941314697266,-0.006786227226257324,-0.017327308654785156,-0.01589900255203247
