symbol,date,open,high,low,close,volume
AUBANK,2021-12-22,518.3,525.9,510.7,513.55,1653732
AUBANK,2021-12-23,522.5,530.0,511.3,522.4,1713196
AUBANK,2021-12-24,522.5,525.15,509.1,513.85,1188550
AUBANK,2021-12-27,504.0,514.9,462.5,502.6,4667600
AUBANK,2021-12-28,509.5,511.25,491.0,493.05,2799888
AUBANK,2021-12-29,494.0,508.2,487.15,505.55,2573164
AUBANK,2021-12-30,503.0,530.7,500.0,521.65,6011386
AUBANK,2021-12-31,515.0,527.2,514.15,518.25,1480180
AUBANK,2022-01-03,519.95,543.25,519.95,532.65,3023554
AUBANK,2022-01-04,536.25,552.4,535.95,547.95,2864674
AUBANK,2022-01-05,567.95,624.7,558.05,584.65,20462010
AUBANK,2022-01-06,579.5,594.0,570.6,583.5,4974210
AUBANK,2022-01-07,587.5,614.5,585.65,610.5,6152482
AUBANK,2022-01-10,616.4,623.25,611.05,617.15,3429352
AUBANK,2022-01-11,621.0,654.4,617.5,649.4,7435854
AUBANK,2022-01-12,655.9,657.0,643.35,648.65,3024856
AUBANK,2022-01-13,647.5,659.85,646.0,654.2,2393052
AUBANK,2022-01-14,651.25,651.25,629.5,631.2,2263236
AUBANK,2022-01-17,631.2,642.45,629.8,636.95,1494092
AUBANK,2022-01-18,636.9,657.2,625.0,629.15,3480788
AUBANK,2022-01-19,631.75,639.85,621.25,632.05,2010484
AUBANK,2022-01-20,633.45,638.5,624.8,627.0,2234940
AUBANK,2022-01-21,623.9,635.3,615.1,628.35,1739486
AUBANK,2022-01-24,628.35,634.65,609.4,614.75,1649384
AUBANK,2022-01-25,612.35,631.45,601.0,623.2,2314474
AUBANK,2022-01-27,617.5,642.2,613.6,637.85,3623976
AUBANK,2022-01-28,644.85,650.0,630.2,635.75,2511440
AUBANK,2022-01-31,635.0,669.0,630.35,654.75,6266560
AUBANK,2022-02-01,662.0,678.5,650.55,673.5,3775208
AUBANK,2022-02-02,675.0,702.0,673.5,698.4,4516994
AUBANK,2022-02-03,697.5,710.5,685.5,690.4,2977552
AUBANK,2022-02-04,692.25,694.9,666.8,671.95,1762798
AUBANK,2022-02-07,675.7,682.0,659.2,669.5,1921966
AUBANK,2022-02-08,673.0,680.6,651.5,667.15,2095414
AUBANK,2022-02-09,671.45,686.8,669.0,683.45,1608584
AUBANK,2022-02-10,684.0,691.9,678.5,688.95,1508618
AUBANK,2022-02-11,683.5,688.95,658.0,660.15,1677724
AUBANK,2022-02-14,645.1,650.0,623.65,626.85,1723900
AUBANK,2022-02-15,627.5,658.5,621.5,653.55,1462732
AUBANK,2022-02-16,653.55,657.35,635.55,638.2,1554850
AUBANK,2022-02-17,638.05,646.5,626.05,634.8,1626704
AUBANK,2022-02-18,632.5,640.0,626.5,630.55,1083516
AUBANK,2022-02-21,630.55,638.4,621.75,631.0,973058
AUBANK,2022-02-22,623.5,632.5,613.1,630.5,1526056
AUBANK,2022-02-23,637.0,645.0,631.0,636.7,1224002
AUBANK,2022-02-24,615.0,632.45,582.5,589.75,2616926
AUBANK,2022-02-25,597.95,622.9,595.9,617.35,1743226
AUBANK,2022-02-28,614.0,615.0,592.9,601.8,2236010
AUBANK,2022-03-02,592.5,610.5,584.5,604.65,2434242
AUBANK,2022-03-03,607.05,612.15,574.0,579.05,3038270
AUBANK,2022-03-04,577.0,580.95,557.5,562.5,2190426
AUBANK,2022-03-07,534.4,548.95,525.9,532.45,3253850
AUBANK,2022-03-08,525.5,553.1,525.0,549.15,2751556
AUBANK,2022-03-09,555.0,575.0,540.8,572.55,2433296
